ID,TARGET
0378-NHQXU,0.46759261541648056
4745-LSPLO,0.2552646732490885
5144-TVGLP,0.5939522513574025
3422-GALYP,0.6977812436006623
5630-IXDXV,0.5768783753863247
0668-OGMHD,0.30608100287032614
7233-DRTRF,0.44816320811436583
8229-TNIQA,0.46882398080403875
8778-LMWTJ,0.4928521327867307
3474-BAFSJ,0.02464326525100182
2569-WGERO,0.0019016965212948229
9804-ICWBG,0.8115617620487076
1322-AGOQM,0.1997116392947419
8065-YKXKD,0.571272712345029
7030-NJVDP,0.2221164593910163
0621-CXBKL,0.04307521017696037
5039-LZRQT,0.003771021664271883
4628-CTTLA,0.29863953540950694
9365-SRSZE,0.44578556637589095
2709-UQGNP,0.25662297704510195
1226-IENZN,0.4961781101199285
0017-DINOC,0.026867221496644767
9150-KPBJQ,0.028642573422233517
8246-SHFGA,0.070572724609613
3143-JQEGI,0.5570928443817001
3451-VAWLI,0.001060009419579457
4009-ALQFH,0.5606516407949895
9871-ELEYA,0.08369856730302615
7683-CBDKJ,0.14508590755937062
8023-QHAIO,0.19295675578578464
9894-QMIMJ,0.06573757430436827
9617-UDPEU,0.013511049556309385
6770-UAYGJ,0.003810359013232527
7089-IVVAZ,0.6706043617099742
5168-MQQCA,0.1879215100348427
9992-UJOEL,0.5603515690347729
0587-DMGBH,0.28621422152543896
3352-ALMCK,0.6106156147250866
6022-KOUQO,0.5861970673280283
5312-IRCFR,0.15825442699792835
2386-OWURY,0.36208645461438865
5669-SRAIP,0.42857830547151154
3891-PUQOD,0.6531974329066098
2379-ENZGV,0.6930241507874814
9508-ILZDG,0.4782753617661909
3055-VTCGS,0.041093953653973864
0537-QYZZN,0.4002189854054576
3027-ZTDHO,0.8147894757798996
4770-UEZOX,0.6900211498048969
8735-IJJEG,0.1629731048082277
5998-VVEJY,0.38808545456045485
0824-VWDPO,0.09362316311804707
6551-VLJMV,0.0017356856905122228
5583-EJXRD,0.042703966187499186
0376-YMCJC,0.44293592963007145
9474-PHLYD,0.2508723866958149
9972-EWRJS,0.0015168129620042243
3209-ZPKFI,0.16250530624288193
6542-LWGXJ,0.601912792071444
9305-CDSKC,0.7680707981096997
2672-TGEFF,0.4293950208548582
2921-XWDJH,0.3785183811879267
3780-DDGSE,0.1087955793808216
9500-LTVBP,0.4217924118633751
1480-IVEVR,0.16733922459645076
8189-DUKMV,0.11515459688314746
7721-DVEKZ,0.3464974414869541
0750-EBAIU,0.09598837661459754
6817-WTYHE,0.5660202118581145
2883-ILGWO,0.31023107156580865
0420-TXVSG,0.023349566321348093
0761-AETCS,0.17273440382878139
1074-WVEVG,0.014967845273308219
3389-KTRXV,0.0683866635785246
5018-GWURO,0.44471145129921635
8138-EALND,0.09945538428389288
1960-UOTYM,0.06376186863971008
0547-HURJB,0.022070198648550705
8715-KKTFG,0.15608019600484044
8329-IBCTI,0.3464974414869541
5478-JJVZK,0.23861378281316956
5440-FLBQG,0.08125833272147277
3023-GFLBR,0.35014742689387207
6173-ITPWD,0.31605562199339177
1202-KKGFU,0.31845073063575025
8792-AOROI,0.07360665905174678
1096-ADRUX,0.06836654700880225
0489-WMEMG,0.09048804039712524
6825-UYPFK,0.22687537991929074
6538-POCHL,0.3502233205210728
4192-GORJT,0.6936843376348887
1867-TJHTS,0.2176478983624649
0654-PQKDW,0.0383935840070435
6559-ILWKJ,0.11649012914563514
6248-TKCQV,0.08656251884585105
7607-QKKTJ,0.1441463188634094
8681-ICONS,0.11414049926560446
1063-DHQJF,0.1077035681568618
4256-ZWTZI,0.3973383662864824
3374-PZLXD,0.04884886844134659
0221-WMXNQ,0.4127505661421911
9281-OFDMF,0.44922900323466997
8818-XYFCQ,0.3775104520010486
8155-IBNHG,0.3429310387687437
6435-VWCCY,0.053545677971376666
3363-DTIVD,0.08296509766790566
6214-EDAKZ,0.13113015975567094
2209-XADXF,0.6210319198053997
5858-EAFCZ,0.44569588314109987
0975-UYDTX,0.1429225196029611
9190-MFJLN,0.5239496200262956
2391-IPLOP,0.06280847163781755
3679-XASPY,0.30070519003783125
6627-CFOSN,0.2828199383541324
3970-XGJDU,0.0233781514158142
7426-GSWPO,0.3099086663402154
5276-KQWHG,0.6285582173903934
9073-ZZIAY,0.01271283206278866
6345-ULYRW,0.1818714815756185
0461-CVKMU,0.2175226422530985
4989-LIXVT,0.32704124593183054
5956-YHHRX,0.6541340719190387
3751-KTZEL,0.44226367851617615
7596-LDUXP,0.25196357916434486
9885-CSMWE,0.8238040947762286
5995-WWKKG,0.016344433200097243
0018-NYROU,0.4760893799926913
4683-WYDOU,0.14341417905979617
1272-ILHFG,0.015970415214385175
4486-EFAEB,0.06005842465390891
2868-MZAGQ,0.8501287269474485
5173-ZXXXL,0.11418852289197405
1452-XRSJV,0.08386630905196166
2054-PJOCK,0.06642046174345739
7798-JVXYM,0.3170794401027853
2460-NGXBJ,0.6708262445565107
7718-RXDGG,0.4024097618589124
1552-AAGRX,0.4253320033840873
1100-DDVRV,0.3446829818850906
4396-KLSEH,0.09398186770420015
6625-UTXEW,0.11297311715798411
1024-KPRBB,0.2805758348451671
6994-KERXL,0.41880687868399796
6207-WIOLX,0.24308381885261732
3530-CRZSB,0.07173313141403069
2235-EZAIK,0.03348885578763726
5404-GGUKR,0.32972966056296316
9244-ZVAPM,0.5707127337754603
8039-EQPIM,0.039757673256516336
9560-ARGQJ,0.568100608873049
9675-ICXCT,0.03335345748113558
7061-OVMIM,0.01649421627612989
0378-TOVMS,0.6761376863104069
5320-BRKGK,0.03574285845226748
5174-ITUMV,0.31305629872953156
2081-VEYEH,0.7194897500275554
2683-JXWQQ,0.25461103053554923
2120-SMPEX,0.06434202235158475
0495-ZBNGW,0.7471136314600832
9919-KNPOO,0.6152776162884442
5504-WSIUR,0.07248253685987845
7225-IILWY,0.0012935683455731824
2898-MRKPI,0.3223945377787098
4102-OQUPX,0.8367762663755319
3916-NRPAP,0.6992164901973248
9904-EHEVJ,0.5378141590300595
7860-UXCRM,0.03712338297584324
9415-ZNBSX,0.016378645216412968
0707-HOVVN,0.027112960394513795
5197-LQXXH,0.003238820109085938
5115-GZDEL,0.01439663883953621
